source_url,page_label,page_summary,reported_total,Date,Name,Rank,Nationality,Branch,Age,Country,Province,Where,Cause,State,City
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/19/2005,"Trahan, Seth R.",Sergeant,United States,U.S. Army National Guard,20,Iraq,Baghdad,Baghdad,Hostile - hostile fire - IED attack,Louisiana,Crowley
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/19/2005,"Malson, Adam",1st Lieutenant,United States,U.S. Army,23,Iraq,Baghdad,Baghdad,Hostile - hostile fire - suicide bomber,Michigan,Rochester Hills
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/19/2005,"Clarke, Kevin Michael",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Al Qaim (near) (near Syrian border),Hostile - hostile fire,Illinois,Tinley Park
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/19/2005,"Gertson, Clinton R.",Specialist,United States,U.S. Army,26,Iraq,Ninewa,Mosul,Hostile - hostile fire - small arms fire,Texas,Houston
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/18/2005,"Gil, Carlos J.",Sergeant,United States,U.S. Army,30,Iraq,Wasit,Humainiyah,Hostile - hostile fire - IED attack,Florida,Orlando
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/17/2005,"Hernandez, Frank B.",Sergeant,United States,U.S. Army,21,Iraq,Ninewa,Tall Afar (near),Hostile - hostile fire - IED attack,Arizona,Phoenix
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/16/2005,"Carter, Justin B.",Specialist,United States,U.S. Army,21,Iraq,Salah ad Din,FOB McKenzie (Samarra),Non-hostile - unspecified cause,Missouri,Mansfield
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/16/2005,"Bell-Johnson, Katrina Lani",Specialist,United States,U.S. Army,32,Iraq,Diyala,Ba'qubah (near),Non-hostile - vehicle accident,South Carolina,Orangeburg
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/16/2005,"Rahaim, Joseph A.",Sergeant,United States,U.S. Army National Guard,22,Iraq,Babil,Iskandariyah (near),Non-hostile - vehicle accident,Mississippi,Laurel
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/16/2005,"Osbey, Timothy R.",Sergeant,United States,U.S. Army National Guard,34,Iraq,Babil,Iskandariyah (near),Non-hostile - vehicle accident,Mississippi,Magnolia
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/16/2005,"Plumondore, Adam J.",Sergeant,United States,U.S. Army,22,Iraq,Ninewa,Mosul,Hostile - hostile fire - car bomb,Oregon,Gresham
