name_primary,artist_id,country_relevance_score,is_country_core,is_country_broad,source_seed,norm_name,hot_country_number_one,hot_country_number_one_matched_name,country_hall_of_fame,country_hall_of_fame_matched_name,billboard_best_country_singers,billboard_best_country_singers_matched_name,in_any_reference_list,reference_list_count,reference_list_hits
Jon Langston,artist_000102,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jon langston,False,,False,,False,,False,0,
Lee Greenwood,artist_000103,0.95,1.0,1.0,Category:American country singer-songwriters,lee greenwood,False,,False,,False,,False,0,
Cole Swindell,artist_000104,0.95,1.0,1.0,Category:American country singer-songwriters,cole swindell,False,,False,,False,,False,0,
Mitchell Tenpenny,artist_000105,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,mitchell tenpenny,False,,False,,False,,False,0,
Johnny Rodriguez,artist_000106,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,johnny rodriguez,False,,False,,False,,False,0,
Dustin Lynch,artist_000107,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,dustin lynch,False,,False,,False,,False,0,
Patti Page,artist_000109,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,patti page,False,,False,,False,,False,0,
Steve Grand,artist_000110,0.95,1.0,1.0,Category:American country singer-songwriters,steve grand,False,,False,,False,,False,0,
Ryan Hurd,artist_000112,0.95,1.0,1.0,Category:American country singer-songwriters,ryan hurd,False,,False,,False,,False,0,
Deborah Allen,artist_000113,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,deborah allen,False,,False,,False,,False,0,
Joe Stampley,artist_000114,0.95,1.0,1.0,Category:American country singer-songwriters,joe stampley,False,,False,,False,,False,0,
Jimmy Wakely,artist_000115,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,jimmy wakely,False,,False,,False,,False,0,
Jim Lauderdale,artist_000116,0.95,1.0,1.0,Category:American country singer-songwriters,jim lauderdale,False,,False,,False,,False,0,
Phil Vassar,artist_000117,0.95,1.0,1.0,Category:American country singer-songwriters,phil vassar,False,,False,,False,,False,0,
Dierks Bentley,artist_000118,0.95,1.0,1.0,Category:American country singer-songwriters,dierks bentley,False,,False,,False,,False,0,
