wikipedia_url,wp_page_title,wp_birth_date,wp_birth_year,wp_birth_name,wp_stage_name,wp_birth_place_raw,wp_aliases,wp_genres_raw,wp_categories
https://en.wikipedia.org/wiki/Don_Woody,Don Woody,,,,,,,,"1937 births|Living people|American rockabilly musicians|Missouri State University alumni|People from Miller County, Missouri|20th-century American drummers|American male drummers|Country musicians from Missouri|20th-century American male musicians|Drummers from Missouri"
https://en.wikipedia.org/wiki/Papa_San,Papa San,1967-07-01,1967.0,Tyrone Thompson,Papa San,"1 July 1967 Kingston , Jamaica",Papa San,Reggae|| dancehall|| gospel reggae,"Converts to Christianity|Living people|1967 births|Musicians from Kingston, Jamaica|Jamaican male singers|Jamaican gospel singers|Jamaican reggae musicians|Jamaican dancehall musicians|People from Spanish Town|Musicians from Saint Catherine Parish|Former Rastafarians|VP Records artists"
https://en.wikipedia.org/wiki/Caedmon%27s_Call,Caedmon's Call,,,,,,,Folk|| alternative rock|| contemporary Christian music,Christian rock groups from Texas|Fair Trade Services artists|Musical groups from Houston|American world music groups|Musical groups established in 1993|1993 establishments in Texas
https://en.wikipedia.org/wiki/The_Velvet_Underground,The Velvet Underground,,,,,,The Warlocks|The Falling Spikes|The Velvets,Rock|proto-punk|art rock|experimental rock|pop,The Velvet Underground|Rock music groups from New York (state)|American art rock groups|American experimental rock groups|American protopunk groups|Andy Warhol|Atlantic Records artists|Lou Reed|Polydor Records artists|Sire Records artists|Musical groups established in 1964|Musical groups disestablished in 1973|Musical groups reestablished in 1992|Musical groups disestablished in 1996|Musical groups from New York City|Performance art in New York City|Grammy Lifetime Achievement Award winners|Musical quartets from New York (state)|1964 establishments in New York (state)|Verve Records artists|MGM Records artists|People associated with The Factory|Mixed-gender bands
https://en.wikipedia.org/wiki/The_Champs,The Champs,,,,,,,Rock and roll,"Challenge Records artists|Apex Records artists|Musical groups from Ventura County, California|Grammy Award winners|American rock and roll music groups|American instrumental rock musical groups|Challenge Records (1950s) artists"
https://en.wikipedia.org/wiki/The_Clancy_Brothers,The Clancy Brothers,,,,,,The Clancy Brothers and Tommy Makem|The Clancy Brothers and Louis Killen|The Clancy Brothers and Robbie O'Connell|The Clancy Brothers and Eddie Dillon,Traditional Irish|folk|Celtic,Audio Fidelity Records artists|Columbia Records artists|Family musical groups|Irish folk music groups|Irish folk singers|Irish male singers|Musical groups disestablished in 1998|Musical groups established in 1956|Musicians from County Tipperary|Sibling musical quartets|Tradition Records|Tradition Records artists|Vanguard Records artists|Vocal quartets|Musical groups from County Tipperary|Brother quartets|1950s in Irish music|1960s in Irish music|1970s in Irish music|1980s in Irish music|1990s in Irish music
https://en.wikipedia.org/wiki/The_Cramps,The Cramps,,,,,,,Psychobilly|punk rock|gothabilly|surf,The Cramps|1976 establishments in New York (state)|2009 disestablishments in New York (state)|American psychobilly musical groups|American surf rock music groups|Creation Records artists|I.R.S. Records artists|American garage punk groups|Garage rock groups from New York (state)|Gothabilly groups|Musical groups established in 1976|Musical groups disestablished in 2009|Punk rock groups from New York (state)|American rockabilly music groups
https://en.wikipedia.org/wiki/The_Jon_Spencer_Blues_Explosion,The Jon Spencer Blues Explosion,,,,,,The Blues Explosion|JSBX,Punk blues|blues rock|garage rock|alternative rock,Matador Records artists|Alternative rock groups from New York (state)|American blues rock musical groups|Garage rock groups from New York (state)|Indie rock musical groups from New York (state)|Musical groups established in 1990|Mute Records artists|Punk blues musical groups|In the Red artists|Mom + Pop Music artists|Au Go Go Records artists|Sanctuary Records artists
https://en.wikipedia.org/wiki/Rockapella,Rockapella,,,,,,,A cappella,Professional a cappella groups|Musical groups established in 1986|Musical groups from New York City|1986 establishments in New York City|American vocal groups
https://en.wikipedia.org/wiki/Larry_Vuckovich,Larry Vuckovich,1936-12-08,1936.0,,,"Kotor , Zeta Banovina , Kingdom of Yugoslavia",,Jazz,1936 births|People from Kotor|American jazz pianists|20th-century American pianists|Living people|21st-century American pianists|Yugoslav emigrants to the United States
https://en.wikipedia.org/wiki/Warrior_Soul,Warrior Soul,,,,,,,Hard rock|alternative metal,1987 establishments in New York (state)|American alternative metal musical groups|Hard rock musical groups from New York (state)|Heavy metal musical groups from New York (state)|Musical groups established in 1987|Musical quartets from New York (state)
https://en.wikipedia.org/wiki/Head_East,Head East,,,,,,,Hard rock|| rock,Hard rock musical groups from Illinois|Musical groups established in 1969|A&M Records artists
https://en.wikipedia.org/wiki/Action_Swingers,Action Swingers,,,,,,,Garage punk|| indie rock|| garage rock,Indie rock musical groups from New York (state)|Rock music groups from New York City|In the Red artists|Caroline Records artists
https://en.wikipedia.org/wiki/Laura_Cortese,Laura Cortese,,,,,,,,21st-century American fiddlers|American women fiddlers|Berklee College of Music alumni|Living people|Singers from San Francisco|Songwriters from San Francisco
https://en.wikipedia.org/wiki/The_Rascals,The Rascals,,,,,,The Young Rascals (1965–1968),Rock|blue-eyed soul|| pop,"Rock music groups from New Jersey|Vocal quartets|Atlantic Records artists|Musical groups established in 1965|Musical groups disestablished in 1972|1965 establishments in New Jersey|1972 disestablishments in New Jersey|American soul musical groups|Musical groups from Bergen County, New Jersey"
https://en.wikipedia.org/wiki/The_Youngbloods,The Youngbloods,,,,,,,Folk rock|psychedelic rock,American folk rock groups|Psychedelic rock music groups from New York (state)|RCA Records artists
https://en.wikipedia.org/wiki/The_Walkmen,The Walkmen,,,,,,,Indie rock|| post-punk revival|| garage rock|| art rock |,Fat Possum Records artists|Indie rock musical groups from New York (state)|Musical groups from New York City|American post-punk revival music groups|Bella Union artists|Record Collection artists|Musical groups established in 2000|2000 establishments in New York City
https://en.wikipedia.org/wiki/Sonic_Youth,Sonic Youth,,,,,,Ciccone Youth (1988),Alternative rock|noise rock|experimental rock|post-punk|indie rock|no wave,Sonic Youth|Musical groups established in 1981|Alternative rock groups from New York (state)|American experimental rock groups|American noise rock music groups|American indie rock groups|American post-punk music groups|Musical quartets from New York (state)|Homestead Records artists|Blast First artists|SST Records artists|DGC Records artists|Geffen Records artists|Matador Records artists|Ecstatic Peace! artists|Sub Pop artists|Enigma Records artists|Interscope Records artists|No wave groups|Musical groups from New York City|1981 establishments in New York City|Musical groups disestablished in 2011|Sub Rosa Records artists|Au Go Go Records artists|Female-fronted musical groups
https://en.wikipedia.org/wiki/Aaron_West_and_the_Roaring_Twenties,Aaron West and the Roaring Twenties,,,,,,Aaron West,Folk rock|| indie rock,Musicians from Philadelphia|Musical groups established in 2014|American folk rock groups|American indie rock groups|2014 establishments in Pennsylvania|Hopeless Records artists|Bands with fictional stage personas
https://en.wikipedia.org/wiki/Sister_Hazel,Sister Hazel,,,,,,,Alternative rock|| Southern rock|folk rock|| jangle pop|| |,"Musical groups from Gainesville, Florida|American jangle pop groups|Musical groups established in 1993|1993 establishments in Florida|American musical quintets|Alternative rock groups from Florida|Southern rock musical groups from Florida|Folk rock groups from Florida|Rock Ridge Music artists|Universal Records artists"
https://en.wikipedia.org/wiki/Christians,Christians,,,,,,,,Christians|Christian terminology|New Testament Greek words and phrases|Religious identity
https://en.wikipedia.org/wiki/Foreigner,Foreigner,,,,,,,,Disambiguation pages
https://en.wikipedia.org/wiki/Blue_County,Blue County,,,,,,,,Disambiguation pages|County name disambiguation pages
https://en.wikipedia.org/wiki/Crown_City_Rockers,Crown City Rockers,,,,,,Mission,Hip hop,"American hip-hop groups|Musical groups from Boston|Musical groups from Oakland, California|American hip-hop group stubs"
https://en.wikipedia.org/wiki/The_New_Christy_Minstrels,The New Christy Minstrels,,,,,,,Folk,American folk music groups|Musical groups established in 1961|Grammy Award winners|Sanremo Music Festival winners|Columbia Records artists|1961 establishments in the United States
https://en.wikipedia.org/wiki/Angelic_Gospel_Singers,Angelic Gospel Singers,,,,,,,,American gospel musical groups|Musical groups from Philadelphia
https://en.wikipedia.org/wiki/Rock_Candy_Funk_Party,Rock Candy Funk Party,,,,,,,Jazz|funk|rock|soul,Musical groups from Los Angeles|Jazz ensembles from California|American funk musical groups|Provogue Records artists
https://en.wikipedia.org/wiki/The_Kelly_Family,The Kelly Family,,,,,,,Pop|| rock|| folklore,Child musical groups|Family musical groups|German folk music groups|American Roman Catholics
https://en.wikipedia.org/wiki/Mica_Roberts,Mica Roberts,,,,,,,Country,"American women country singers|American country singer-songwriters|Living people|Singer-songwriters from Oklahoma|Show Dog-Universal Music artists|People from Locust Grove, Oklahoma|Country musicians from Oklahoma|21st-century American women"
https://en.wikipedia.org/wiki/Rachel_Brooke,Rachel Brooke,,,,,,,Country,"Country musicians from Michigan|Living people|21st-century American women musicians|People from Crawford County, Michigan"
