seed_title,source_seed,wikidata_qid
Goose Creek Symphony,artist_universe_full_targeted,Q5584049
Great Divide,artist_universe_full_targeted,Q1205472
Great Plains,artist_universe_full_targeted,Q12707
Great White,artist_universe_full_targeted,Q1330850
Green River Ordinance,artist_universe_full_targeted,Q5603138
Greg Adams,artist_universe_full_targeted,Q1544864
Greg Harris,artist_universe_full_targeted,Q11773198
Griffen Palmer,artist_universe_full_targeted,Q117458025
Grouplove,artist_universe_full_targeted,Q1153346
Guns N' Roses,artist_universe_full_targeted,Q11895
Guy Davis,artist_universe_full_targeted,Q1557463
Haim,artist_universe_full_targeted,Q33084262
Haley Scarnato,artist_universe_full_targeted,
Hannah Montana,artist_universe_full_targeted,Q126631
Hans Teichmann,artist_universe_full_targeted,Q133462079
Harlow Wilcox,artist_universe_full_targeted,
Harrdy Sandhu,artist_universe_full_targeted,Q18608779
Hayden Nicholas,artist_universe_full_targeted,Q5686357
Hayes Carll,artist_universe_full_targeted,
Head East,artist_universe_full_targeted,Q1592229
Henry Morrison,artist_universe_full_targeted,Q11775995
Herbert Morris,artist_universe_full_targeted,
Hickory Wind,artist_universe_full_targeted,Q16842928
High Street,artist_universe_full_targeted,Q1308100
High country,artist_universe_full_targeted,Q16784653
Hiss Golden Messenger,artist_universe_full_targeted,Q15052929
Hoi Polloi,artist_universe_full_targeted,Q10297763
Homer Ledford,artist_universe_full_targeted,Q15461582
Hootie & the Blowfish,artist_universe_full_targeted,Q1476499
Houndmouth,artist_universe_full_targeted,Q16995930
Ian & Sylvia,artist_universe_full_targeted,Q1655684
Ida Mae,artist_universe_full_targeted,Q123040177
Igor & The Red Elvises,artist_universe_full_targeted,Q1976152
Ike & Tina Turner,artist_universe_full_targeted,Q1165506
In Gowan Ring,artist_universe_full_targeted,Q1660628
Indigo Swing,artist_universe_full_targeted,Q111944107
Infamous Stringdusters,artist_universe_full_targeted,Q1662265
Integrity Music,artist_universe_full_targeted,Q15401689
Iron horse,artist_universe_full_targeted,Q17096977
Jack Earls,artist_universe_full_targeted,
Jack Rose,artist_universe_full_targeted,Q1677187
Jacky Ward,artist_universe_full_targeted,
Jade Eagleson,artist_universe_full_targeted,Q104797016
Jaida Dreyer,artist_universe_full_targeted,Q6123512
Jake Hill,artist_universe_full_targeted,Q135510269
James Gang,artist_universe_full_targeted,Q1680440
James O'Rourke,artist_universe_full_targeted,Q18142389
