artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles
artist_000708,Red Foley,Red Foley,existing_artist,Peace in the Valley,peace in the valley,1951,5,1951,5,Billboard Top Country & Western Records of 1951
artist_000708,Red Foley,Red Foley,existing_artist,Sugarfoot Rag,sugarfoot rag,1950,9,1950,9,Billboard Top Country & Western Records of 1950
artist_000708,Red Foley,Red Foley,existing_artist,Tennessee Border,tennessee border,1949,17,1949,17,1949 in country music
artist_000708,Red Foley,Red Foley,existing_artist,Tennessee Polka,tennessee polka,1949,21,1949,21,1949 in country music
artist_000710,Red Sovine,Red Sovine,existing_artist,It'll Come Back,it ll come back,1974,16,1974,16,1974 in country music
artist_000125,Rex Allen,Rex Allen,existing_artist,Crying in the Chapel,crying in the chapel,1953,4,1953,4,Billboard Top Country & Western Records of 1953
artist_001538,Rex Allen Jr.,"Rex Allen, Jr.",existing_artist,Goodbye,goodbye,1974,19,1974,19,1974 in country music
artist_000713,Rick Trevino,Rick Trevino,existing_artist,She Can't Say I Didn't Cry,she can t say i didn t cry,1994,3,1994,3,1994 in country music
artist_000814,Ricky Nelson,Ricky Nelson,existing_artist,My Bucket's Got a Hole in It,my bucket s got a hole in it,1958,10,1958,10,1958 in country music
artist_000814,Ricky Nelson,Ricky Nelson,existing_artist,Poor Little Fool,poor little fool,1958,3,1958,3,1958 in country music
artist_000209,Ricky Skaggs,Ricky Skaggs,existing_artist,Life's Too Long (To Live Like This),life s too long,1991,37,1991,37,1991 in country music
artist_000065,Ricky Van Shelton,Ricky Van Shelton,existing_artist,I Am a Simple Man,i am a simple man,1991,1,1991,1,1991 in country music
artist_000065,Ricky Van Shelton,Ricky Van Shelton,existing_artist,Keep It Between the Lines,keep it between the lines,1991,1,1991,1,1991 in country music
artist_000065,Ricky Van Shelton,Ricky Van Shelton,existing_artist,Life's Little Ups and Downs,life s little ups and downs,1991,4,1991,4,1991 in country music
artist_000065,Ricky Van Shelton,Ricky Van Shelton,existing_artist,Where Was I,where was i,1994,20,1994,20,1994 in country music
artist_000024,Riley Green,Riley Green,existing_artist,Damn Good Day to Leave,damn good day to leave,2025,28,2025,28,2025 in country music
artist_000024,Riley Green,Riley Green featuring Ella Langley,existing_artist,Don't Mind If I Do,don t mind if i do,2025,5,2025,5,2025 in country music
artist_000024,Riley Green,Riley Green,existing_artist,I Wish Grandpas Never Died,i wish grandpas never died,2020,12,2020,12,2020 in country music
artist_000024,Riley Green,Riley Green,existing_artist,There Was This Girl,there was this girl,2019,11,2019,11,2019 in country music
artist_000024,Riley Green,Riley Green,existing_artist,Worst Way,worst way,2025,5,2025,5,2025 in country music
artist_000615,Rodney Atkins,Rodney Atkins,existing_artist,15 Minutes,15 minutes,2009,20,2009,20,2009 in country music
artist_000615,Rodney Atkins,Rodney Atkins featuring The Fisk Jubilee Singers,existing_artist,Caught Up in the Country,caught up in the country,2019,20,2019,20,2019 in country music
artist_000615,Rodney Atkins,Rodney Atkins,existing_artist,Cleaning This Gun (Come On in Boy),cleaning this gun,2008,1,2008,1,2008 in country music
artist_000615,Rodney Atkins,Rodney Atkins,existing_artist,It's America,it s america,2009,1,2009,1,2009 in country music
