musicbrainz_mbid,mbx_birth_year,mbx_birth_city,mbx_birth_state,mbx_birth_country,musicbrainz_artist_type
f8a57783-99ca-48f2-8937-86d7e9c81792,1915.0,,,United States,Person
0ee34caa-31c3-4b34-9fa1-5efec8b5fefb,1930.0,,Oklahoma,United States,Person
24ff3a8a-df96-4d46-ac99-b3e989d3ae14,1965.0,,,United States,Person
42f892c2-4f32-4380-8c14-dad3e926d840,,,,,
e0c38793-9fd5-4824-b30d-78e47c2a3149,1949.0,,,United States,Person
eddfe0b7-5b6c-44a9-9b14-9dceddb5d3e7,1953.0,,Oklahoma,United States,Person
4e32a669-b8f9-444d-b7af-fdebaecd6772,1878.0,,,United States,Person
65b72a96-123e-4182-a467-4d60b3b638c1,1929.0,,,United States,Person
86054389-bc34-4008-b00b-38ef1a1ad988,1985.0,,,,Person
e913055a-6a81-4bd1-868c-12b6c7d98d1d,1988.0,,New Jersey,United States,Person
86200eea-a1b0-4209-9f58-f05aacd9da0f,,,Arkansas,United States,Person
207d26db-bfef-4b85-b900-325c368d4c7a,1909.0,,,United States,Person
0d248a54-fd3e-4d94-ad81-634b30425383,1918.0,,Arkansas,United States,Person
c0e63ff9-6452-4bca-98d4-2ed9cc7fa0ea,1983.0,,Florida,United States,Person
e7ca6db5-dee1-4460-8d38-35f36b61c961,1980.0,,Arkansas,United States,Person
7994b392-4b14-4b06-b591-fd8b0ad65338,1925.0,,Nevada,United States,Person
bdc82654-bc2d-45e7-aabf-e0494d8e917d,1870.0,,Tennessee,United States,Person
f625a2b1-21b5-4f7b-b7d7-e3280df4b87d,1936.0,,Oklahoma,United States,Person
2e2dc3f4-6663-40fd-9def-7b590f02c832,1976.0,,Washington,United States,Person
9a016d7b-f159-407c-8dae-b72e77bdaf45,1892.0,,Virginia,United States,Person
edb28a29-912b-4a5d-a8d7-dda17c1f88a7,1984.0,,,United States,Group
92359d0e-c336-4dd4-a859-7f0fc4056897,,Bell County,Kentucky,United States,Person
1e47b9d0-14e3-4c73-9f05-06dfae15e7fb,,,,United States,Person
b97912c5-c168-476b-b89e-070442d7d4f2,,Knoxville,,United States,Person
ed7173c5-f17a-41f9-8ff2-636b44a7276a,,,,,Person
8ca30ebe-a95d-49ed-9f3e-30212cdbb0cb,,,,United States,Person
91e07743-761b-40f4-b4cb-f3dd72b4c26c,1993.0,,California,United States,Person
15843a2d-55a6-4849-b333-42508a60a23a,,Colorado Springs,,United States,Person
ea483cd9-ff70-456d-8874-b826931b6e99,1995.0,,,,Person
ff30e98c-75da-4e92-819e-31670eba8bd6,,Maniwaki,,Canada,Person
133fd324-e2f8-4272-973b-30ac6a943d0f,,,,Canada,Person
8f918972-81e9-43a5-80a4-d244a42dc5b2,1945.0,,,United States,Group
8077aea3-4b19-4c89-b6b0-4d92c4017278,1990.0,,,United States,Group
ce4217a5-e713-47d2-a10c-c6286753f384,1996.0,,,United States,Group
80936981-aadc-45b2-a5b1-cf9542a1e394,2007.0,,,United States,Group
4cd93c63-911b-403b-b832-b4018369ee04,2010.0,,,United States,Group
5f549372-3e08-42aa-ad67-0d3c60e1b86d,2009.0,,,United States,Group
5a52a6e6-abda-4f22-9197-e4f6d5f42054,1946.0,,North Carolina,United States,Person
0f0aa25b-e6ea-4701-aab8-f9e52b3968f3,1993.0,,,,Person
dd5fb19b-e685-47b2-bc4c-9535c58c08b6,,,,United States,Group
d983ff62-9469-4e0b-a1b8-464974eba541,,Lakefield,,Canada,Group
bc8f68a3-9f43-491f-93a0-b8c19d801a27,1956.0,,,United States,Group
f7494ea2-212b-4f01-9429-b0e5e4b26fa4,,,,United States,Person
4f788269-7d39-4970-9909-247823020e90,1894.0,,,United States,Person
8131050a-89ad-424e-a94d-25269fe1f827,1935.0,,Texas,United States,Person
63fe933b-6618-430d-94e2-8d882a74f59c,1930.0,,,,Person
65287a2e-460f-4434-b4b2-d3d5c1f49d4c,1927.0,,Texas,United States,Person
836e296c-2938-45a5-9d18-a298661dac21,1999.0,,Florida,United States,Person
e2f526c6-09ed-4ef3-aa05-452eb12ff192,1986.0,Patiala,,India,Person
4165a914-889f-415c-b355-1462457a026c,2005.0,,,Canada,Group
b7d91b37-4639-43d4-8334-fdd1a7a32e08,,,,,Group
442033f6-fa93-4ced-84a7-52f45617a15d,2000.0,,,United States,Group
fa1d45af-ceeb-445f-afe2-65308eef7780,,,,United States,Group
4a8ae4fd-ad6f-4912-851f-093f12ee3572,,,,United States,Group
f5a6bb71-f49d-4115-b285-fda004821497,1936.0,,,United States,Group
c1c02051-0305-4095-8817-30df19c0b79f,2014.0,Nashville,,United States,Group
1b69a7bc-7563-4aaf-a859-8b6050a7a0f2,1981.0,Apopka,,United States,Group
8b604d4b-1170-4225-bc9e-d8276d94402e,1940.0,,Alabama,United States,Group
7767365b-ab8a-4173-9410-33705722b118,1926.0,,,United States,Group
f87b740a-c22b-4fae-9987-1f3e16f840c4,2002.0,Atlanta,,United States,Group
d1da3f8d-3b16-468f-a1b2-9a8d9b138bc6,1984.0,Nashville,,United States,Group
e72ef80e-5893-4990-8319-29d06a5f5847,1982.0,Lookout Mountain,,United States,Group
28955336-2348-488a-9381-e3a7b0107343,2009.0,Greeneville,,United States,Group
7a502bfc-4cab-4dc8-a618-b12aca7258e7,2013.0,Anne Arundel County,Maryland,United States,Group
1089f50b-10c3-47ef-8b21-b0b899c827d8,1945.0,Oak Ridge,,United States,Group
ad3a1b29-ac6e-44c0-bd96-8b561bf5dcd7,2010.0,Nashville,,United States,Group
ddf152b8-584e-47a5-a7f4-280a21b0b8ca,2002.0,,,United States,Group
008b3e9a-ffd5-49d9-b3fc-95efa2826e3a,1955.0,Sparkman,,United States,Group
166c939c-a97e-44b9-b405-23d49a72df4e,1999.0,West Valley City,,United States,Group
c5f0a579-99f3-446b-bc31-d658a23247fd,1954.0,,,United States,Group
1f988d75-7f1c-4a74-b810-b6435a7f4fb4,2016.0,Nashville,,,Group
9c76170f-0d77-4aa3-b3c9-52f1ce07b9ec,1998.0,Nashville,,United States,Group
f4c639bd-5f03-45ac-9d32-4937a4384723,1984.0,Nashville,,United States,Group
6edbfdce-57ec-4181-bdbd-ace81b52b694,2015.0,Nashville,,United States,Group
d2a498f2-f813-4b03-b3f9-22bac5bd5419,2010.0,,,United States,Group
80737f69-60c5-4c0d-9562-88faf8d8f2f4,2000.0,,,United States,Group
667977d7-5901-4c5b-bf5f-61e92b6689c2,1986.0,Los Angeles,,United States,Group
17e5c3f1-8de7-42ad-b3b7-440f8eaa81d0,1984.0,Marietta,,United States,Group
dbe56668-02e3-42ff-9943-a7fa9711696b,2011.0,,,United States,Group
693948d2-3751-4378-8161-1c0f1eb9057b,1989.0,,,United States,Group
091ec508-877f-4e3c-92a3-10903bbbc7ad,1957.0,Knoxville,,United States,Group
1821c7d6-5c94-4117-817f-3b36b2469f07,2008.0,,Illinois,United States,Group
3718efd7-012d-4811-873a-dda4a3640ee8,2004.0,Nashville,,United States,Group
5228671e-6fbe-4a23-850c-9a955254974c,,,,United States,Group
ea772689-0d46-4aa1-bf22-a5fa482a5174,2000.0,Atlanta,,United States,Group
c59d4416-df60-4063-bec3-70da0abdbe67,1988.0,Tulsa,,United States,Group
091ef352-590c-41e6-827e-d3e925b2ffa5,1992.0,Tampa,,United States,Group
cb13adb3-d73c-4015-a1cd-6d58254710a8,1979.0,,,United States,Person
a0e1f271-f25a-48d2-b652-4bfc33d6842b,,,,,Person
b96c40bb-c66a-4298-8bfc-c3ff4b62bd25,1954.0,,,United States,Person
175ba729-9516-4fef-ab31-487f271909c6,1994.0,Grande Prairie,,Canada,Person
bf1254a2-4f29-4f44-90e7-291f96edc332,1948.0,,,United States,Group
f5db378d-81c8-4f8c-a7bb-b554877732a9,1997.0,La Crete,,Canada,Group
034aa55b-4571-4d82-bf9b-3edb38c81940,,,,United States,Person
5eba17b9-f67a-48e0-abc3-b9b0e98588b5,1995.0,Grande Prairie,,Canada,Group
192f7a3f-ec32-4eae-b8f6-3bc430bd763c,,,,United States,Group
53f402db-7d17-4927-ba1c-35e75f76c24e,2004.0,,,United States,Group
18423cab-858d-4e82-be72-83f580303b5e,,,,United States,Group
4ca0f538-15dd-487b-ac93-e26cc9a41200,,,,United States,Group
a5bd8238-faff-446b-b512-4620cf25e8a0,1938.0,,,United States,Group
1bcae6c8-8eff-401a-a184-97d95216f6fc,1929.0,Fort Smith,,United States,Person
f26a0e1e-13c8-4f35-9a86-11a570b405fc,1997.0,Trenton,,Canada,Group
5fdf95e6-f0ea-4056-8898-8f895de28fb2,,,Oklahoma,United States,Group
51e90731-08c0-4f60-89b6-5b78e5844de8,1996.0,Okinawa,,Japan,Person
9b97150f-f131-4339-921e-8e5d8425f737,1916.0,Matanzas,,Cuba,Person
ba550d0e-adac-4864-b88b-407cab5e76af,1942.0,Walton,,United Kingdom,Person
939a2174-6cb9-476f-802a-2ed584675e56,1945.0,Philadelphia,,United States,Group
b2c84b21-c77d-4e63-ac00-98fa3ca20eeb,1957.0,Madison,,United States,Group
254781a6-c690-4d0f-b01e-548d83a4f453,1925.0,,Missouri,United States,Person
add79722-d66d-4431-883b-8c580a2b3684,,,,United States,Person
f013a796-ca11-4b16-bfbe-e15f75502ff0,,,,,Person
8b1536e8-860e-41d0-90b1-8a067c9c326b,,,,United States,Person
1c6799b5-9196-463a-8e26-baaa125e0b11,,,,,Person
ee83ab96-43ce-496a-814b-c5eca5735bf7,,,,United States,Person
eb1099c1-3ee0-49d3-8b6a-16ae5ae50004,2000.0,Virginia Beach,Virginia,United States,Person
48e92dfa-8d4b-4a05-bacc-6c491c95ea80,,,,,
842226e0-fc89-468d-95c7-1e1cca0db944,1965.0,Grants Pass,,United States,Person
e87d4999-0373-4584-bb76-0b5ab790c310,,,,,Person
b14fe7f9-4d0e-411e-a040-d17460a08be7,1967.0,,,United States,Person
233bc3b1-0c25-4bb3-8181-72ce4aa7db64,1962.0,Paris,,United States,Person
53330e83-8931-4144-aea9-176bcc7a1269,1944.0,,,United States,Person
feff5395-e6d1-4628-b2bb-07175ce3da10,1979.0,,,United States,Person
20b34f7d-a135-4c3d-ad84-cea9b80581c2,,,,,Person
a067e0a8-a828-4a56-a7c9-2e3ccfddbd71,1978.0,,Georgia,United States,Person
ba74739b-6314-4396-a679-e8534b2c3ce2,,,,,Person
b7d94cd4-c74e-424a-bee5-84ec350611f3,1966.0,,Tennessee,United States,Person
79f6b7ce-74c3-457b-aee4-181ffc79b1bc,,,,,Person
9319a2ee-b061-4cfe-bbfc-02c7663afe07,1881.0,Hartwell,,United States,Person
69a69256-45f0-4163-981b-c9db9dc9e3ed,1914.0,Hardin County,Kentucky,United States,Person
fbed2353-569e-479e-955c-32711b1219af,,Coeur d'Alene,,United States,Person
360c2ec7-6ec6-4391-a9c6-c4518229d1b4,,,,United States,Person
608c637a-85fa-4cc5-b9c9-925abf1e00eb,,,,,Person
d0dd6432-d3f9-4b4a-b507-6b6e1defade8,1945.0,,,United States,Person
533326fe-d59b-448e-ade0-96737df0df20,1930.0,Corsicana,,United States,Person
8901c0fe-9619-4fe9-bbac-969df7817501,,,,,Person
f348cf92-3083-4a82-91ca-f1499b2e5243,1968.0,,,,Person
e86725d6-330f-41fa-8d62-ad5dec9262f6,,,,,
fd4266df-97e4-44d2-aac1-b1f27d87444f,,,,,Person
e502a27e-ac1d-4f1a-b5bb-57bfbe9809b4,,,,United States,Person
ddc694fa-a10d-44e7-9e08-ec2142d80610,,,,Australia,Person
0ba20ec1-8897-43a2-95a7-2e7ac2f9e3df,,,,,
4fc8a2c6-4c15-447a-b32c-dd91022a0e43,,,,,Person
4a56d91c-5a20-4323-9665-8efdda36acd0,1936.0,,,United States,Person
b1aee447-7b7b-4286-8e39-45d73d2a6876,1939.0,,Pennsylvania,United States,Person
2c4e1a49-29d0-401a-bfde-ceb9e4611866,,,,,Group
da787ed8-f1c3-4b6c-a78b-0064526ea08a,1956.0,Tarzana,,United States,Person
7ffc0afc-7850-40ea-b49d-e9147bac781f,,,,,Person
8b3621b3-b16a-4931-8f60-c93646964839,,,,,Person
30d59641-59f9-48ff-bf7e-e1c902ecb813,,,,United States,Person
aa20303e-c8b8-458a-b10a-320385a497b2,,,,,Person
c4f41d88-f4f8-478b-b3eb-9817de49b6f6,,,,,Group
3bad1f74-a560-4bcd-9262-d12df8e0a2f3,2013.0,Arnprior,,Canada,Group
84aed119-56a0-4356-8462-2527822405c3,1996.0,,,PT,Group
7ac055fa-e357-4890-9098-010b8094a900,1969.0,Fort Payne,,United States,Group
dd7e3edd-0087-41e9-929d-26c05d8e4530,,,,United States,Person
90a782bf-3144-44cb-a281-104884a77c69,1995.0,,West Virginia,United States,Person
06bb628b-c6ca-4f67-a59b-51fb4ca5e26f,1970.0,Perth,Western Australia,Australia,Person
0b5520de-521b-487a-8a2b-518e47a888cd,,,,United Kingdom,Person
bf43929c-22a4-4625-866c-a7a2e5a0a48e,2004.0,Nashville,,United States,Group
6c2d852d-8bc0-4df3-beca-8ae221c8e869,1998.0,Jacksonville,,United States,Group
9cd2eaa7-6368-434f-9435-3e698565739d,1985.0,Edmonton,Alberta,Canada,Person
a320c615-206f-452f-9a9b-13ea15f8c0eb,2007.0,Nashville,,United States,Group
58f7fcd3-611b-4e4f-872b-ea153f3678b0,1989.0,,,,Group
1d28fc7b-639e-4aa7-ad80-2263cfa9f351,,,,United States,Group
6085d647-2b6b-4d6a-b5e0-f5ec2ca9b768,,,,,
9c3601d4-2630-4330-8a08-28c7354b081a,1995.0,Burlington,,United States,Person
0215c0ee-4184-4b33-9321-b2a5bc82488a,1982.0,,,United States,Person
337c6e9f-4d6a-49ae-907e-78af6a52a6ee,1981.0,Columbus,,United States,Group
53bb7459-3b76-4b29-99f1-720c3f9ce700,,,,,Person
5cf8e526-0e45-45ee-a849-3dae212360bb,,,,JP,Person
623d49ac-f6f1-4e46-9232-ad497c67c628,1953.0,Wichita,,United States,Person
05f210f3-8877-41e7-a180-0dad6196c25b,,,,,Person
b9044aef-8728-465c-aec8-c467826b55e8,2012.0,Portland,,United States,Group
d7742406-eaaa-453c-a30d-334d4554648b,,,,,Person
da214096-a153-4839-945f-59594f9a10e6,,,,,Group
1cc3051b-2fd6-4603-86a4-cab3168a278e,,,,,
904ad9fd-daf0-4b3f-bff6-367cac377a29,1935.0,,,United States,Person
13592688-9bbe-448c-8035-2746e8897a6e,1984.0,Muscle Shoals,,United States,Group
3eece87b-4e2f-4774-91cd-a7ed5fb0510e,1983.0,Liverpool,,United Kingdom,Group
539f6311-ef8e-4763-a57a-240c1fe2bc4a,,,,United States,Person
1ceb8762-0e94-45bf-bbc6-838337422ee4,1966.0,Oakland,,United States,Person
17027b0c-b6e5-43e7-a697-b6186f38b254,1933.0,Rouyn-Noranda,,Canada,Person
d9403f69-2718-483e-a21a-210ae1714b82,1999.0,,,JP,Group
e0a60de0-22c3-4e10-ac93-3a385191bbf6,2014.0,Dripping Springs,,United States,Group
88f9c0a2-81ac-4e5a-a108-db05dc669a73,1914.0,Carbon Hill,,United States,Person
e71c0148-1092-48c5-a24e-fb7bbf316888,1933.0,Senath,,United States,Person
b5d77881-1324-43b2-9ddb-7f4856155972,2006.0,Nashville,,United States,Group
1aade430-6db6-4fe0-b0c9-cdb8324a2b7b,1985.0,Newcastle,New South Wales,Australia,Person
45ee3bf0-7ef7-4a87-81e3-a5867473b93d,2008.0,Nashville,,United States,Group
681824b7-a407-46c2-b2b7-aca815a755dc,,,,,Group
8063db1a-2126-45c2-9fae-b50c628ed102,,,,United States,Group
efacb5be-6e0e-4a89-8543-a979675fef22,,,,United States,Person
0893b356-a053-475c-a432-690a4483174c,,,,United States,Person
947163f5-f306-4d78-a316-8c3fb317ae50,1919.0,Bristol,,United States,Person
dec96381-548c-45e0-977f-dda33ddd695b,,,,United States,Group
797cb3ed-fef5-4ae7-8c03-27823d545d16,,,,,Person
6ec2b840-28db-4ff5-a18a-7210de789eb3,,,,,Person
5933fe1f-7a3d-4e42-a038-c7b263ebc917,,,,,Group
dadce819-be12-4c56-a386-71ab8c744cf3,,,,,Person
502b743a-bd63-4f37-909c-0050116e4dea,,,,,Person
8878d221-9901-41f0-a2a3-808c03204c79,,,,United States,Person
3e29f1cc-b45c-43ad-8191-1c7deb33e2e3,1962.0,Atlanta,,United States,Person
8b2a98e1-7de1-492c-8fd6-6431e30ccdcb,1951.0,Seminole,,United States,Person
2059962e-8eb7-4e3e-84da-7645ce0e8663,1932.0,,,United States,Person
d51a9a5f-42d7-41f6-83b0-39ef6fe6a99d,,,,,Group
6366407c-1111-40ce-8bd8-530f51a8c236,,,,,Person
34e336f4-7624-404b-ab22-d8b77ee21ffb,,,,United States,Group
3b3ad270-1e27-4086-9d15-a9fba99009d7,1940.0,,,United States,Orchestra
901ddcb9-85d4-409e-bab8-fba6bb6e4b86,,,,,Person
98544539-7e93-4ac3-af27-4b077c2248e1,,,,,Person
7b31d04e-6a61-48d9-a390-13f91db4f6ad,,,,United States,Group
4c789e58-2e4c-4167-b881-79aec362824f,,County Meath,,Ireland,Person
