musicbrainz_mbid,mbx_birth_year,mbx_birth_city,mbx_birth_state,mbx_birth_country
94d457a5-b86b-49bd-90f1-c2e601f6da52,2009.0,,,United States
51e90731-08c0-4f60-89b6-5b78e5844de8,1996.0,Okinawa,,Japan
249eb550-505e-43ef-ac50-e8c605706ff1,1985.0,Tucson,,United States
913cd338-9439-4106-ab5f-76f98c48daee,2006.0,Austin,,United States
fdb40275-50df-4894-8481-573e86956e81,1994.0,Raleigh,,United States
c544ed4d-2390-4442-a83e-1ea2883b09c8,1964.0,Jacksonville,,United States
c5c2f1bb-09db-429f-8f77-ed9dfe39a36b,2000.0,Seneca,,United States
f6f3a309-9d14-4b7c-895a-166333c25f9c,1964.0,San Francisco,California,United States
9fa07bb4-8312-4cd7-a19a-4fdbc5797148,1998.0,Austin,,United States
6ffc45c3-069a-4ece-b3f5-54c14d139d91,,,,United States
e9aed5e5-ed35-4244-872e-194862290295,1999.0,West Grove,,United States
d12dfadc-585a-4a5f-8600-05bdb3c51add,1937.0,,Missouri,United States
a0327dc2-dc76-44d5-aec6-47cd2dff1469,1991.0,Berkeley,,United States
25441822-c48a-4c46-af6f-fb03339d03bb,1991.0,County Durham,England,GB
e10cbaee-3952-4935-b915-5957511891df,1967.0,Kingston,,Jamaica
2339bc21-aa92-4850-86f0-4bb9433910c8,1982.0,San Antonio,,United States
a7e00a08-01b6-4f85-bed3-6ffc852af2f6,1993.0,,,United States
1159e0d0-a782-471a-9dae-93ac046eac72,1986.0,Boston,,United States
bbaa7a18-98ff-4540-9973-8f8340a83d3b,1958.0,,,United States
c17f8b94-759f-4b13-8666-2ad2a215722a,1957.0,Toledo,,United States
29c91854-8c45-469b-b36d-a11fb650638b,2009.0,Cleveland,,United States
c48d4327-8122-4286-af66-05e1ee6ac4d8,1988.0,Santa Monica,,United States
2aab61bc-67f4-4722-8c6e-e1821b2e32a6,1980.0,Milwaukee,,United States
1c7b3786-b99a-40ab-81e4-f3056da19e13,1960.0,East St. Louis,,United States
d8e41375-bd8d-4e39-9da7-f0c171e97086,2009.0,Los Angeles,,United States
2017acdf-899e-4db3-a237-06696d8af58b,1983.0,New Orleans,Louisiana,United States
eeb1195b-f213-4ce1-b28c-8565211f8e43,1985.0,Los Angeles,,United States
4f416ed7-dda2-45de-a6f1-b986e861cf4b,2001.0,Atlanta,,United States
846cdb90-81a6-4c05-a7dc-9dd075f0db9e,1991.0,Poway,,United States
027ec840-cc71-40a5-a325-146388c32fff,1975.0,,Ohio,United States
fc20ca3a-5fb5-475c-b151-516829c14d9b,1980.0,Philadelphia,,United States
2d7d0a67-ae5d-4ac0-93aa-aa52ef3a976a,1992.0,Baltimore,Maryland,United States
