seed_title,source_seed,wikidata_qid
Strangers,artist_universe_adjacent_targeted,Q13197964
Strawberry Moon,artist_universe_adjacent_targeted,
Stray Cats,artist_universe_adjacent_targeted,
String Fever,artist_universe_adjacent_targeted,
Stringbean,artist_universe_adjacent_targeted,
Sugarland,artist_universe_adjacent_targeted,
Supersuckers,artist_universe_adjacent_targeted,
Sweet Honey in the Rock,artist_universe_adjacent_targeted,
Swing and Sway with Sammy Kaye,artist_universe_adjacent_targeted,Q2217509
Tenacious D,artist_universe_adjacent_targeted,
The Avett Brothers,artist_universe_adjacent_targeted,
The Beach Boys,artist_universe_adjacent_targeted,
The Beau Brummels,artist_universe_adjacent_targeted,
The Blasters,artist_universe_adjacent_targeted,
The Brian Jonestown Massacre,artist_universe_adjacent_targeted,
The Bridge,artist_universe_adjacent_targeted,
The Brothers Four,artist_universe_adjacent_targeted,
The Champs,artist_universe_adjacent_targeted,
The Civil Wars,artist_universe_adjacent_targeted,
The Clancy Brothers,artist_universe_adjacent_targeted,
The Country Gentlemen,artist_universe_adjacent_targeted,
The Cramps,artist_universe_adjacent_targeted,
The Earls of Leicester,artist_universe_adjacent_targeted,
The Farmer Boys,artist_universe_adjacent_targeted,
The Feelies,artist_universe_adjacent_targeted,
The Fireballs,artist_universe_adjacent_targeted,
The Flatlanders,artist_universe_adjacent_targeted,
The Flying Burrito Brothers,artist_universe_adjacent_targeted,
The Frontmen,artist_universe_adjacent_targeted,Q117481326
The Georgia Satellites,artist_universe_adjacent_targeted,
The Goldens,artist_universe_adjacent_targeted,
The Gospel Stars,artist_universe_adjacent_targeted,
The Grass Roots,artist_universe_adjacent_targeted,
The Head and the Heart,artist_universe_adjacent_targeted,
The Hodges Brothers,artist_universe_adjacent_targeted,Q1713197
The Holidays,artist_universe_adjacent_targeted,
The Holy Modal Rounders,artist_universe_adjacent_targeted,
The Hooters,artist_universe_adjacent_targeted,
The Hot Club of Cowtown,artist_universe_adjacent_targeted,Q14158734
The Jayhawks,artist_universe_adjacent_targeted,
The Jordanaires,artist_universe_adjacent_targeted,
The Judds,artist_universe_adjacent_targeted,
The Kelly Family,artist_universe_adjacent_targeted,
The Lemonheads,artist_universe_adjacent_targeted,
The Louvin Brothers,artist_universe_adjacent_targeted,
The Marshall Tucker Band,artist_universe_adjacent_targeted,
The Mastersons,artist_universe_adjacent_targeted,
The Mountain Goats,artist_universe_adjacent_targeted,
The National,artist_universe_adjacent_targeted,
The New Christy Minstrels,artist_universe_adjacent_targeted,
The Oak Ridge Boys,artist_universe_adjacent_targeted,
The Ozark Mountain Daredevils,artist_universe_adjacent_targeted,
The Railbenders,artist_universe_adjacent_targeted,
The Rascals,artist_universe_adjacent_targeted,
The Relatives,artist_universe_adjacent_targeted,
The Reverend Horton Heat,artist_universe_adjacent_targeted,Q1273740
The Rock Garden,artist_universe_adjacent_targeted,
The Rock-A-Teens,artist_universe_adjacent_targeted,
The Rowans,artist_universe_adjacent_targeted,
The Sea-Wolf,artist_universe_adjacent_targeted,Q1196857
The Shelton Brothers,artist_universe_adjacent_targeted,
The Teenagers,artist_universe_adjacent_targeted,
The Vandals,artist_universe_adjacent_targeted,
The Velvet Underground,artist_universe_adjacent_targeted,
The Voice (U.S. season 5),artist_universe_adjacent_targeted,Q14946449
The Wagoneers,artist_universe_adjacent_targeted,
The Walkmen,artist_universe_adjacent_targeted,
The Youngbloods,artist_universe_adjacent_targeted,
Third Avenue,artist_universe_adjacent_targeted,Q124857
Thomas Wayne,artist_universe_adjacent_targeted,
Three Dog Night,artist_universe_adjacent_targeted,
Tigirlily Gold,artist_universe_adjacent_targeted,
Tommy Makem,artist_universe_adjacent_targeted,
Trans Am,artist_universe_adjacent_targeted,
Uncle Tupelo,artist_universe_adjacent_targeted,
