name_primary,discogs_birth_year,discogs_birth_city,discogs_birth_state,discogs_birth_country,discogs_url,itunes_artist_url
Jason Aldean & Carrie Underwood,,,,,,
"Jean Shepard, Ferlin Husky",,,,,,
Jim Brickman with Michelle Wright,,,,,,
Jim Reeves and Dottie West,,,,,,
Jimmie Allen & Brad Paisley,,,,,,
Jimmy Newman,,,,,,
Jimmy Smart,,,,,,
Kane Brown & Blackbear,,,,,,
Kane Brown & John Legend,,,,,,
Keith Urban and Miranda Lambert,,,,,,
Keith Whitley & Earl Thomas Conley,,,,,,
Kenny Chesney and Tim McGraw,,,,,,
Kitty Wells and Webb Pierce,,,,,,
"Kitty Wells, Webb Pierce",,,,,,
Koe Wetzel and Jessie Murph,,,,,,
LaCosta,,,,,,
Laverne Downs,,,,,,
Lee Greenwood & Suzy Bogguss,,,,,,
Lil Nas X featuring Billy Ray Cyrus,,,,,,
Lonnie Irving,,,,,,
Louise Massey and the Westerners,,,,,,
Luke Gordon,,,,,,
"M. Lorrie, B. DeVal",,,,,,
Mark O'Connor and the New Nashville Cats,,,,,,
Mel Tillis and Sherry Bryce,,,,,,
Moneybagg Yo featuring Morgan Wallen,,,,,,
Moon Mullican and The Showboys,,,,,,
Nelly & Florida Georgia Line,,,,,,
Osborne Brothers and Red Allen,,,,,,
Parmalee & Blanco Brown,,,,,,
Pentatonix featuring Dolly Parton,,,,,,
Pinetoppers,,,,,,
RCA Victor,,,,,,
Ray Godfrey,,,,,,
Red & Betty Foley,,,,,,
Red Ingle and The Natural Seven vocal by Cinderella G Stump,,,,,,
Ted Self,,,,,,
"Tennessee Ernie Ford, Kay Starr",,,,,,
The Carlisles,,,,,,
The Hoosier Hot Shots and Two Ton Baker,,,,,,
Tim McGraw & Tyler Hubbard,,,,,,
Tim McGraw and Faith Hill,,,,,,
Webb Pierce and Kitty Wells,,,,,,
Wilburn Brothers,,,,,,
Willie Nelson and Tracy Nelson,,,,,,
Willis Brothers,,,,,,
