release_year,n_tabs,bpm,complexity,repetition,melodicness,energy,finger_movement,disruption,root_stability,intra_root_variation,harmonic_palette,loop_strength,structure_variation,playability,harmonic_softness,share_billboard_year_end,release_upload_gap
1956,39,128.4,.1634622029866425,.901782099874053,0,.6415046504074906,.3917207224320519,.6976856110117418,.1903869077428142,.2307692307692308,.4871794871794871,.4653188596748542,.6025641025641024,.8365377970133577,.206958404893773,.1025641025641026,61.128204
1957,47,131,.1358274188088846,.9010847793889049,.0006546644844517,.6545836936594487,.3923367696208389,.7147751940793103,.1958055230724459,.2340425531914894,.4914893617021277,.2209112975532298,.6595744680851064,.8641725811911157,.1604355509407442,.1276595744680851,61.361702
1958,59,136.2857142857143,.1739279402644232,.8516316090346387,0,.6615136924104364,.407875928552002,.754376064153677,.1400150167630322,.2184557438794727,.6039548022598868,.2481197472811536,.4858757062146893,.8260720597355767,.1909676397971313,.1864406779661017,58.35593
1959,84,120.5,.1563035233094587,.9061998978890022,0,.6536629219518095,.4287223132066744,.7280248737681012,.168287003775522,.173941798941799,.4636904761904759,.2971274747008124,.5737433862433864,.843696476690541,.1979724707750994,.0833333333333333,58.726189
1960,87,223.5,.1716946726486033,.8782211828505606,.007346232296001,.6614159702388879,.3989414884459482,.7526006020329842,.1434140767007255,.2375478927203065,.5885057471264366,.2947363920596307,.689655172413793,.8283053273513963,.2049719096480459,.0689655172413793,58.344826
1961,55,138.8125,.1623943591466726,.8883560860398755,.0025205213807779,.6444950313323207,.4590019210608134,.7091934908886429,.1830733524282727,.2101010101010102,.6072727272727274,.370959711586046,.5696969696969697,.8376056408533274,.1962279892710376,.0909090909090909,57.672726
1962,97,137.1111111111111,.1676553725698696,.8787414476395486,0,.6710733425468066,.4079271384069833,.7802372819860424,.1280233319570659,.1890034364261169,.5134020618556696,.2829946246491673,.4089347079037801,.8323446274301299,.1985865860428157,.0103092783505155,54.371136
1963,106,120.5,.1666606132544782,.8785495958008219,.0014239943040228,.6758154407077629,.4062482699250219,.7864673484289615,.1209444626844114,.1876310272536687,.554088050314465,.3137230277222387,.5461215932914045,.833339386745522,.1968007526246781,.0471698113207547,54.981133
1964,125,149.7,.1713949958000713,.8980426387084038,0,.6550585181069241,.4753254631284793,.7308764359023795,.1669736264221284,.1959999999999999,.4931999999999996,.3440312009795679,.6006666666666669,.8286050041999286,.2176867521390548,.032,54.776001
1965,143,101,.175521650045091,.8877151212503052,.0029627668044,.6725437400362837,.4445755571242313,.7752350698915625,.1325464445556169,.1818181818181817,.4720279720279716,.3179285571380434,.5256410256410254,.824478349954909,.2176794975753552,.006993006993007,53.034966
1966,158,122.8076923076923,.1719158083082059,.8817121692417919,.0025212129642509,.687817967432733,.4651051569575554,.8003412402094666,.1186589466920434,.2225738396624471,.5468354430379747,.2618685613427151,.5676863572433195,.828084191691794,.2076677933415376,0,52.727848
1967,193,130.6333333333333,.1671251779990138,.8861344322932184,.0074089718893185,.6846233341962666,.4616294420831283,.7915697643666857,.1252808614326332,.2271157167530227,.5624352331606219,.3155504084971525,.5582901554404145,.8328748220009857,.2026315848605021,0,51.865284
1968,212,105.3333333333333,.157983854082772,.8805500254694562,.0122521608490437,.688175226849059,.5167150060624499,.7924748995190873,.1318485749581885,.27332285115304,.6097484276729563,.2805520019619411,.5115303983228512,.8420161459172275,.1836731071175905,.0094339622641509,50.245281
1969,230,134.9090909090909,.1565641022991894,.8863936815843734,.012731668034633,.6813848914678792,.4828869616695106,.7861313909589982,.1299464358116882,.2528985507246382,.5984782608695659,.3557515047851429,.632246376811594,.8434358977008098,.1852026248882316,.0043478260869565,50.130436
1970,208,107.3333333333333,.14970583679192,.8906008070957461,.0109101946952523,.6771365953435837,.4687037153337051,.7794883249095333,.1351007231560373,.2403846153846156,.6021634615384617,.3023718054898827,.5428685897435896,.8502941632080797,.1765769327170308,.0144230769230769,48.240383
1971,229,124.2592592592593,.1401168684769782,.8912197119613714,.0107152266791002,.6820918121300125,.4386092610346666,.7803791364163235,.1339623409730129,.2653508771929828,.6205409356725148,.3102712846778591,.6232943469785577,.8598831315230213,.1610079221025448,.0043668122270742,47.030567
1972,234,129.6666666666667,.1449479873163261,.8895293293685574,.0170598396345828,.6836970420011397,.4434533047133327,.796476773779733,.123530494677126,.2245963912630582,.5674501424501427,.3243287308001222,.5185185185185187,.8550520126836744,.1679328651062489,.0042735042735043,46.098289
1973,282,116.5555555555556,.1360120195432045,.8898098640506789,.0109102906004216,.6762935465845674,.3971440255067087,.7852848260426364,.1280534190440105,.1981875492513794,.5435579196217503,.3648232451335441,.5250197005516156,.8639879804567948,.1532266086057935,.0106382978723404,44.14539
1974,211,106.1818181818182,.1380461316369356,.8904622311882555,.0106361402743521,.6801219842841097,.42725290127695,.7869797922491242,.1272554209231025,.2264550264550266,.5947619047619047,.3331902420408304,.5308201058201061,.8619538683630644,.1570517068537294,.0473933649289099,44.094788
1975,214,120.2,.1638854522111755,.8921431406518117,.0147937548310751,.6778450434206366,.5091622515889676,.776422615078898,.1393054918584521,.2580477673935622,.5712616822429909,.3643333427546493,.5268691588785048,.8361145477888243,.2012378474531673,0,42.299065
1976,206,111.28,.1350965152886345,.8966217076203816,.0061797643328337,.6773003986336104,.4272075421270433,.7797188020101957,.1301929116628859,.2033441208198491,.5422330097087378,.3422106277532374,.5176645091693636,.8649034847113652,.1562419972279787,0,41.757282
1977,224,121.1612903225806,.1275114782651165,.8901127535617374,.0143714369880397,.6828536946561996,.4321108300239981,.7892945223010983,.1248554414792538,.2239583333333336,.5769345238095236,.2768466968759131,.5379464285714287,.8724885217348842,.1392609661496856,.0089285714285714,40.691963
1978,210,111.3636363636364,.1307187375512437,.9059460970549293,.0082395000468235,.6773872120242584,.4037992803468821,.7844892540752696,.1263656271897952,.1716931216931216,.526031746031746,.2964507797822377,.5845238095238099,.8692812624487555,.1551619606220257,.019047619047619,40.504761
1979,178,125.5789473684211,.1218359755108624,.9034998585976238,.016420862897448,.6811089045515576,.4485797423323898,.7970149293559471,.118634011367451,.1991260923845192,.5404494382022471,.2916720210287674,.5485330836454431,.8781640244891377,.1387265315831868,.0112359550561798,38.904495
1980,207,98.92857142857143,.1326048782188335,.9037212716690786,.0240155975675811,.683567438939868,.4819125120109188,.7968995502662096,.1242674913459738,.2412775093934516,.5922705314009661,.3619437086017912,.5822597960279119,.8673951217811664,.1568223114774419,0,37.937199
1981,187,116,.1312120100904658,.8957826088732521,.019661448060822,.6790291139010386,.4983656488833141,.7707498666739264,.1473077616911917,.2379679144385028,.6056149732620323,.3597265939510496,.5261437908496734,.8687879899095339,.1492084227329445,.0053475935828877,36.283421
1982,215,108.2857142857143,.1252486164905138,.9007141917651227,.0123612015720973,.6817211610527122,.426919541472671,.7813527469778903,.135307960490712,.236434108527132,.5962015503875969,.2965713197860569,.522997416020672,.874751383509486,.1425571553276047,.0046511627906977,35.841862
1983,186,103.2941176470588,.1321899606496024,.8948488056826939,.0113129291589838,.6915614549398528,.4743665560261215,.822741735135524,.1004454846677026,.2290919952210276,.6155913978494622,.3005633034550585,.5993130227001194,.8678100393503977,.1502158048711335,.0053763440860215,35.327957
1984,202,92.86666666666666,.1272661826028265,.8973645642907012,.0127466529659654,.6868281858113906,.4546395170451565,.7889453074376791,.1247214023200889,.2519251925192521,.6127062706270623,.2852968484898282,.6347634763476344,.8727338173971734,.1436866805318451,.004950495049505,34.480198
1985,289,104.7931034482759,.1173556399413063,.8939320122455471,.0126501036036609,.6813336735296057,.4805467948555062,.7973632274958407,.1219420092519788,.258169934640523,.6265859284890432,.2984747463771553,.5227797001153401,.8826443600586932,.1248807413992086,0,32.913494
1986,231,107.85,.1313512927766876,.8976600077279336,.0199746658780663,.677276146508661,.4809210029890773,.791299577483129,.1253527402934797,.246753246753247,.5955988455988452,.3046843631139838,.5963203463203464,.8686487072233122,.1506921597797687,0,31.69697
1987,252,109.8571428571429,.1232263338640582,.8970326981524018,.0278847388960592,.6771876615732952,.5036770652994532,.7654680722797363,.1460695694548261,.272266313932981,.6300925925925932,.3200421440237337,.6102292768959434,.8767736661359417,.136732355208365,.0158730158730159,30.718254
1988,291,116.0555555555556,.1429588813946123,.8985328912975208,.0235304368725532,.682852577901198,.4959249343416915,.7862211524443196,.1303918173028072,.2239404352806417,.5915807560137464,.2996201342309736,.5764604810996564,.8570411186053871,.1706200631893678,.0103092783505155,29.745705
