artist_id,name_primary,source_role,source_name,evidence_urls
artist_000025,Warren Zeiders,primary,Wikidata,https://www.wikidata.org/wiki/Q120986980|https://en.wikipedia.org/wiki/Warren_Zeiders|https://musicbrainz.org/artist/6d9e7506-8b53-4dd8-992a-512b18f3b6ba
artist_000025,Warren Zeiders,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q120986980|https://en.wikipedia.org/wiki/Warren_Zeiders|https://musicbrainz.org/artist/6d9e7506-8b53-4dd8-992a-512b18f3b6ba
artist_000026,Oliver Anthony,primary,Wikidata,https://www.wikidata.org/wiki/Q121391237|https://en.wikipedia.org/wiki/Oliver_Anthony|https://musicbrainz.org/artist/e0870836-d112-4851-92bd-570f2e1e62cb
artist_000026,Oliver Anthony,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q121391237|https://en.wikipedia.org/wiki/Oliver_Anthony|https://musicbrainz.org/artist/e0870836-d112-4851-92bd-570f2e1e62cb
artist_000027,Jake Hill,primary,Wikidata,https://www.wikidata.org/wiki/Q121898080|https://en.wikipedia.org/wiki/Jake_Hill_(musician)|https://musicbrainz.org/artist/b7984d80-3e30-42d3-b34c-b6aeb258aa6c
artist_000027,Jake Hill,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q121898080|https://en.wikipedia.org/wiki/Jake_Hill_(musician)|https://musicbrainz.org/artist/b7984d80-3e30-42d3-b34c-b6aeb258aa6c
artist_000028,Leon Payne,primary,Wikidata,https://www.wikidata.org/wiki/Q1226480|https://en.wikipedia.org/wiki/Leon_Payne|https://musicbrainz.org/artist/e3d0da79-2006-472c-8338-2ea2e259058b
artist_000028,Leon Payne,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1226480|https://en.wikipedia.org/wiki/Leon_Payne|https://musicbrainz.org/artist/e3d0da79-2006-472c-8338-2ea2e259058b
artist_000029,Vincent Neil Emerson,primary,Wikidata,https://www.wikidata.org/wiki/Q123583229|https://en.wikipedia.org/wiki/Vincent_Neil_Emerson|https://musicbrainz.org/artist/da7f3f0a-e548-4612-89a7-98ff5d5575ff
artist_000029,Vincent Neil Emerson,seed,Category:American country singer-songwriters|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q123583229|https://en.wikipedia.org/wiki/Vincent_Neil_Emerson|https://musicbrainz.org/artist/da7f3f0a-e548-4612-89a7-98ff5d5575ff
artist_000030,Sam Barber,primary,Wikidata,https://www.wikidata.org/wiki/Q124428137|https://en.wikipedia.org/wiki/Sam_Barber_(singer)|https://musicbrainz.org/artist/be7c80ee-1b03-4088-b20b-5915c7c5ad45
artist_000030,Sam Barber,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q124428137|https://en.wikipedia.org/wiki/Sam_Barber_(singer)|https://musicbrainz.org/artist/be7c80ee-1b03-4088-b20b-5915c7c5ad45
artist_000031,Tucker Wetmore,primary,Wikidata,https://www.wikidata.org/wiki/Q124754909|https://en.wikipedia.org/wiki/Tucker_Wetmore|https://musicbrainz.org/artist/bac63106-16c3-4a31-80a4-d269ec27ab96
artist_000031,Tucker Wetmore,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q124754909|https://en.wikipedia.org/wiki/Tucker_Wetmore|https://musicbrainz.org/artist/bac63106-16c3-4a31-80a4-d269ec27ab96
artist_000032,Tanner Adell,primary,Wikidata,https://www.wikidata.org/wiki/Q125027827|https://en.wikipedia.org/wiki/Tanner_Adell|https://musicbrainz.org/artist/dc5aa749-10d1-4e58-a18d-9e2c8cadaa7c
artist_000032,Tanner Adell,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q125027827|https://en.wikipedia.org/wiki/Tanner_Adell|https://musicbrainz.org/artist/dc5aa749-10d1-4e58-a18d-9e2c8cadaa7c
artist_000033,Wyatt Flores,primary,Wikidata,https://www.wikidata.org/wiki/Q125884645|https://en.wikipedia.org/wiki/Wyatt_Flores|https://musicbrainz.org/artist/4ae67eb7-c01c-4d71-b995-21b093fcb888
artist_000033,Wyatt Flores,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q125884645|https://en.wikipedia.org/wiki/Wyatt_Flores|https://musicbrainz.org/artist/4ae67eb7-c01c-4d71-b995-21b093fcb888
artist_000034,John Morgan,primary,Wikidata,https://www.wikidata.org/wiki/Q126284897|https://en.wikipedia.org/wiki/John_Morgan_(singer)|https://musicbrainz.org/artist/2bac148b-0cd9-4cdc-9d23-351b10593732
artist_000034,John Morgan,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q126284897|https://en.wikipedia.org/wiki/John_Morgan_(singer)|https://musicbrainz.org/artist/2bac148b-0cd9-4cdc-9d23-351b10593732
artist_000035,Zach Top,primary,Wikidata,https://www.wikidata.org/wiki/Q126414316|https://en.wikipedia.org/wiki/Zach_Top|https://musicbrainz.org/artist/9939a762-5ca9-4c12-a735-0d62e21df4e3
artist_000035,Zach Top,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q126414316|https://en.wikipedia.org/wiki/Zach_Top|https://musicbrainz.org/artist/9939a762-5ca9-4c12-a735-0d62e21df4e3
artist_000036,Kenneth C. Burns,primary,Wikidata,"https://www.wikidata.org/wiki/Q126843|https://en.wikipedia.org/wiki/Kenneth_C._""Jethro""_Burns|https://musicbrainz.org/artist/9974444f-555e-4956-aca8-b3527fa67f24"
artist_000036,Kenneth C. Burns,seed,Category:American country singer-songwriters|Category:Country musicians from Tennessee,"https://www.wikidata.org/wiki/Q126843|https://en.wikipedia.org/wiki/Kenneth_C._""Jethro""_Burns|https://musicbrainz.org/artist/9974444f-555e-4956-aca8-b3527fa67f24"
artist_000037,Max McNown,primary,Wikidata,https://www.wikidata.org/wiki/Q130415571|https://en.wikipedia.org/wiki/Max_McNown|https://musicbrainz.org/artist/cc45b39c-c7c2-4db3-98f2-9c0220c76d7c
artist_000037,Max McNown,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q130415571|https://en.wikipedia.org/wiki/Max_McNown|https://musicbrainz.org/artist/cc45b39c-c7c2-4db3-98f2-9c0220c76d7c
artist_000038,Shelley King,primary,Wikidata,https://www.wikidata.org/wiki/Q131339593|https://en.wikipedia.org/wiki/Shelley_King_(musician)|https://musicbrainz.org/artist/b7421105-5c90-460c-8c81-2c784b62d874
artist_000038,Shelley King,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q131339593|https://en.wikipedia.org/wiki/Shelley_King_(musician)|https://musicbrainz.org/artist/b7421105-5c90-460c-8c81-2c784b62d874
artist_000039,Sam Williams,primary,Wikidata,https://www.wikidata.org/wiki/Q131451385|https://en.wikipedia.org/wiki/Sam_Williams_(singer)|https://musicbrainz.org/artist/c14340c4-e9c9-4dbb-a40a-4efa603aca03
artist_000039,Sam Williams,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q131451385|https://en.wikipedia.org/wiki/Sam_Williams_(singer)|https://musicbrainz.org/artist/c14340c4-e9c9-4dbb-a40a-4efa603aca03
artist_000040,Stephen Wilson Jr.,primary,Wikidata,https://www.wikidata.org/wiki/Q131623323|https://en.wikipedia.org/wiki/Stephen_Wilson_Jr.|https://musicbrainz.org/artist/c28bcdb2-6e32-4b15-a9b0-77a4d88c6c74
artist_000040,Stephen Wilson Jr.,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q131623323|https://en.wikipedia.org/wiki/Stephen_Wilson_Jr.|https://musicbrainz.org/artist/c28bcdb2-6e32-4b15-a9b0-77a4d88c6c74
artist_000041,Justin Moore,primary,Wikidata,https://www.wikidata.org/wiki/Q1333234|https://en.wikipedia.org/wiki/Justin_Moore|https://musicbrainz.org/artist/ab5d785b-ff87-48b5-b9e1-027e3c21ec0d
artist_000041,Justin Moore,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1333234|https://en.wikipedia.org/wiki/Justin_Moore|https://musicbrainz.org/artist/ab5d785b-ff87-48b5-b9e1-027e3c21ec0d
artist_000042,Joe South,primary,Wikidata,https://www.wikidata.org/wiki/Q1333939|https://en.wikipedia.org/wiki/Joe_South|https://musicbrainz.org/artist/399fc572-6f08-4dee-b5fc-213c8a4d050b
artist_000042,Joe South,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1333939|https://en.wikipedia.org/wiki/Joe_South|https://musicbrainz.org/artist/399fc572-6f08-4dee-b5fc-213c8a4d050b
artist_000043,Ricky Skaggs,primary,Wikidata,https://www.wikidata.org/wiki/Q1347095|https://en.wikipedia.org/wiki/Ricky_Skaggs|https://musicbrainz.org/artist/1a14063c-9dca-48d5-98c3-89748c74562b
artist_000043,Ricky Skaggs,seed,Category:American country singer-songwriters|Category:Country musicians from Kentucky,https://www.wikidata.org/wiki/Q1347095|https://en.wikipedia.org/wiki/Ricky_Skaggs|https://musicbrainz.org/artist/1a14063c-9dca-48d5-98c3-89748c74562b
artist_000044,Webb Pierce,primary,Wikidata,https://www.wikidata.org/wiki/Q1347695|https://en.wikipedia.org/wiki/Webb_Pierce|https://musicbrainz.org/artist/cbd197c2-1c29-4f46-acc6-0565a916d143
artist_000044,Webb Pierce,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1347695|https://en.wikipedia.org/wiki/Webb_Pierce|https://musicbrainz.org/artist/cbd197c2-1c29-4f46-acc6-0565a916d143
artist_000045,Connie Cato,primary,Wikidata,https://www.wikidata.org/wiki/Q13561728|https://en.wikipedia.org/wiki/Connie_Cato|https://musicbrainz.org/artist/d7222f53-dae2-45d9-97d5-0d44ab3faa17
artist_000045,Connie Cato,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q13561728|https://en.wikipedia.org/wiki/Connie_Cato|https://musicbrainz.org/artist/d7222f53-dae2-45d9-97d5-0d44ab3faa17
artist_000046,Megan Mullins,primary,Wikidata,https://www.wikidata.org/wiki/Q13561954|https://en.wikipedia.org/wiki/Megan_Mullins|https://musicbrainz.org/artist/9726768d-848e-410f-aca9-20155684f8b0
artist_000046,Megan Mullins,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q13561954|https://en.wikipedia.org/wiki/Megan_Mullins|https://musicbrainz.org/artist/9726768d-848e-410f-aca9-20155684f8b0
artist_000047,Brady Seals,primary,Wikidata,https://www.wikidata.org/wiki/Q13582365|https://en.wikipedia.org/wiki/Brady_Seals|https://musicbrainz.org/artist/3fdb5ffd-4bd5-45b4-9380-1d220ae7555b
artist_000047,Brady Seals,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q13582365|https://en.wikipedia.org/wiki/Brady_Seals|https://musicbrainz.org/artist/3fdb5ffd-4bd5-45b4-9380-1d220ae7555b
artist_000048,Ira Louvin,primary,Wikidata,https://www.wikidata.org/wiki/Q13583169|https://en.wikipedia.org/wiki/Ira_Louvin|https://musicbrainz.org/artist/4c5d7f65-8811-40aa-bcc2-fd701d404779
